,attention_head1,attention_head2,attention_head3,attention_head4,attention_head5,attention_head6,attention_head7,attention_head8,attention_head9,attention_head10,attention_head11,attention_head12
count,4,4,4,4,4,4,4,4,4,4,4,4
mean,0.000901779,-0.005281087,-0.002457596,-0.019172346,0.004789749,-0.011926944,-0.00784415,-0.011074692,-0.016636823,0.006056684,0.00295852,-0.001081674
std,0.011675432,0.015351997,0.00363067,0.018166795,0.015194147,0.016198268,0.010606022,0.023541439,0.025326972,0.010145574,0.013459158,0.014692443
min,-0.016164049,-0.023876386,-0.005173667,-0.04513319,-0.015102758,-0.031674382,-0.01850288,-0.04300095,-0.047667171,-0.005173667,-0.016040155,-0.017779664
25%,-0.00186845,-0.011840038,-0.004798564,-0.023044957,-0.001708893,-0.02188504,-0.01611695,-0.02168835,-0.032096776,-0.001098734,-0.001837476,-0.010208927
50%,0.005525823,-0.005319975,-0.003706223,-0.014346442,0.006696272,-0.009251926,-0.007708432,-0.004598067,-0.012075458,0.006698784,0.007368122,-0.001148666
75%,0.008296052,0.001238976,-0.001365255,-0.010473831,0.013194914,0.00070617,0.000564368,0.006015591,0.003384495,0.013854201,0.012164118,0.007978588
max,0.00871952,0.013391986,0.002755729,-0.002863311,0.02086921,0.002470456,0.002543144,0.007898315,0.005270796,0.016002835,0.01313799,0.015750301
